überall,all over
bestellt,ordered
unbedingt,absolutely
bereits,already
dabei,there
zurück,back
sogar,even
gleich,equal
plözlich,suddenly
leider,unfortunately
weiter,continue
mitmachen,join in
gefallen,like
entscheiden,decide
passiert,happen
nochmal,again
blieben,to stay
fast,nearly
betrachen,observe
manche,some
vorbei,past
wähle,choose
erzahl,tell
besonders,especially
minderstens,at least
vielleicht,maybe
schau mal,look here
beispiel,example
wechseln,change/switch
ersetzen,replace
vorstellen,introduce
